ret_month,OLS-3+H,PCR,ENet+H,RF,NN2,NN4,SP500-Rf
200102,0.07252611147535298,0.1487924759155948,-0.12589021453922505,-0.028889169384651817,-0.014177795220836856,0.053487131458381035,-0.096091
200103,0.10135330850052507,-0.015454078858016335,-0.0379874777466306,0.04231434019174585,0.04344515510773129,-0.08125954390723385,-0.068405
200104,-0.06816780398150678,-0.1045616146489356,0.05822617468472385,0.07400491327719036,0.06964682972818084,0.08921170992192268,0.07291399999999999
200105,-0.014426127766525045,0.04984475916337519,-0.03528470560100005,0.02243114319030408,0.020880655087174557,0.04984577563589762,0.0018899999999999998
200106,-0.052159541508792276,0.056026247171316323,0.03160688220847458,0.03507880987044274,-0.009587042572882953,0.03597667047063299,-0.027804
200107,0.029437869747376656,0.09157726325855572,-0.06413919968722517,0.03963713588385529,0.0471211780256842,-0.02266334740546349,-0.013772
200108,0.11427719771260017,0.15532995952138604,-0.0020673853745248614,-0.02367066355644388,-0.05183606070974818,-0.03451731399111915,-0.067208
200109,0.2536986558642257,0.04018620294069497,0.005070355433772308,0.12861276472309952,-0.14611463167212996,0.012306964041247134,-0.084523
200110,-0.056520877378691894,0.051567958570928676,-0.051416588521002775,0.02831645053685025,0.08411057452678736,0.06983264340401787,0.015899
200111,-0.10239499226457136,0.01262417327952052,0.040680653013407606,0.040440932910351196,-0.24534519178756947,0.07425259469584863,0.07347600000000001
200112,-0.14996575173596294,0.049950399215377056,0.05749224835194783,0.10689958720135975,0.06322090557068227,-0.03802251493848197,0.0060739999999999995
200201,0.05215141146518412,-0.029973925763369887,-0.08195984532571783,-0.09742738079395584,0.05474016109978369,0.03592681274889315,-0.016974
200202,0.014068045587108438,0.07887569510527065,-0.025903766964850222,-0.18723795466791227,-0.022088796599028862,-0.0675703431379345,-0.022066
200203,-0.18647069355891088,0.08896843935094191,-0.01542985214703576,0.1503627368609511,-0.008949011239367194,-0.037822898094227356,0.035439
200204,-0.021550124648974166,0.07575627478321925,-0.029136320866441752,-0.055771250265360506,-0.10865726885565566,-0.06815898885728458,-0.062918
200205,0.0583477428322106,0.009983532633901053,-0.0014427846797972835,-0.04355771016989686,0.018794102132721067,-0.02599171852123644,-0.010481
200206,0.018199876086028646,0.09272807760162849,-0.05817671644751182,-0.05250881965656232,-0.07418134616145693,-0.08094305817528047,-0.073765
200207,0.04925688206245182,0.11133533205839974,-0.04935601940839006,-0.07842719111672476,-0.025682994559779945,-0.10499106588838475,-0.080495
200208,0.02744302254979356,0.010007906594658124,-0.0033974184308272325,0.012301228568153997,-0.0437015938720222,-0.07643404329440712,0.0034809999999999997
200209,0.08237680935798516,0.07269379154485975,-0.021268622629398035,-0.10879181891148156,0.02906600921696642,-0.06293197913968217,-0.111413
200210,-0.17211691580560928,0.06592882963313397,0.0362889196053522,0.24473801471240908,0.13467867356621022,0.058649544252176486,0.085036
200211,-0.06237114555218701,0.014699788111739262,0.15119870934192525,0.2979740121542974,0.2422554470068396,0.21363429337127057,0.05587
200212,0.15185582291780958,0.11848085023060861,-0.0730491976749834,-0.1827251995229353,-0.1429986932752289,-0.07324653468874899,-0.061432999999999995
200301,0.07099621985705724,0.04301067775005069,0.07056455344591141,-0.04902704239487572,-0.042595024528339534,-0.07708785122288371,-0.028415
200302,0.027935540927271015,0.007684618042669157,0.004163791592920546,0.01358220244955274,-0.012629159388417105,0.023954440028096366,-0.017904
200303,0.0847459146269756,0.09396732008247613,-0.0045378743128189365,0.011659554517988543,0.1463376929136135,0.06701990043055146,0.007358000000000001
200304,-0.11648911215821699,-0.04721535219255418,0.07419975633909412,0.1651036754535532,0.16557443993842658,0.0861289178341515,0.080044
200305,-0.1289355655926437,0.015719794055488227,0.1295554458914161,0.030142748314611847,0.24366651186524727,-0.02828285582830721,0.049999
200306,-0.07009417585313749,-0.06637140290968893,-0.006491232812759647,-0.051700611233670854,-0.0398860510511813,0.02914077306939599,0.010322000000000001
200307,-0.05873669580711845,-0.005931187884052877,0.0023801311424465343,0.018294490077626936,0.15282373364366486,0.08751958870072075,0.015524
200308,0.01019814246815362,-0.09604079886175626,-0.012764484654694236,-0.045557634600716226,0.0178214880614078,0.04072116410063323,0.017173
200309,-0.0385677168007265,0.03944996458775919,-0.08255126129438894,-0.04260066477440622,0.005405361327027966,0.0686159960795272,-0.012744
200310,0.0404626639210719,0.015341284159956683,0.03789867588350487,0.024035396306349467,-0.0689188492703189,0.0018634541133453891,0.054262
200311,0.04408197217498776,0.04169433255498768,0.02008172563776609,-0.006274279649430045,0.03171989272496486,0.024160758679464885,0.006429
200312,-0.07155413056490527,-0.03464915517346265,-0.053204254651113364,0.015012689446074883,0.006263458963310264,0.046875867742990594,0.049965999999999997
200401,-0.0038205173872170803,-0.00795211411801631,-0.03440178588937179,-0.05863799408408684,0.01682436873282289,-0.006705241926655833,0.016576
200402,0.00711171344511663,0.02636057255088764,0.008059308273026679,0.04383431466112197,0.06099539473218572,0.02001145979305998,0.011609
200403,0.05132127313248511,0.0059890945467450385,0.02707513468882327,0.01705986325086044,0.06015887865078773,0.017188030101783828,-0.017259
200404,-0.07809645219354444,-0.015740857221671324,-0.0785368588673193,0.019642033823289697,-0.013125835592766057,0.0050672137485912455,-0.017591
200405,-0.015120011378588264,0.024051712822197122,0.05242608001423339,0.023447510715813143,0.04396062040472137,0.055056469252079236,0.011484
200406,0.052051439902857384,0.05969926539373849,0.015368310564277309,0.03858908488319527,-0.011266079190646452,0.0191218685146854,0.017189000000000003
200407,0.005378306481801733,0.009025048676897345,-0.034992416425882744,-0.021264188923691578,-0.1109508910597408,-0.004887720548993689,-0.035291
200408,-0.05846923156161036,-0.0653173335650628,-0.07874215950254516,-0.004041199549885761,-0.03910270897638571,-0.039103664434856356,0.001187
200409,0.07121062399659285,0.12251149344084537,0.07610668798893927,0.031820296114616155,0.03559782573320315,0.02256530638530898,0.008264
200410,-0.015407601177575536,-0.05942613562901471,0.03372561802959476,-0.025267824871307746,0.020063042820298454,-0.008516252833532113,0.012914
200411,0.04960642537993559,0.03834161797988012,0.038205595211380984,-0.0021113708228603506,0.024724586857205723,0.03269886557139771,0.037094999999999996
200412,-0.0400028790840129,-0.08529322369431688,-0.04368287648347905,-0.05962433177553015,-0.006363770306598106,-0.03978425491915147,0.030858
200501,0.035688298166680385,0.04511634369411168,-0.018726700021429364,-0.011665138782750925,-0.0498115897642711,-0.047816600719387856,-0.02689
200502,0.062471730547497537,0.03673488878016513,0.027855030641779615,-0.027189200504169935,0.04593867757183763,-0.06155988927080219,0.017303
200503,0.0612635232207173,0.048987338885319996,0.027880403483645233,0.07669473996194485,0.0214154526098587,0.04697395230019692,-0.021218
200504,0.02643769387681117,-0.022135547941411163,0.012532710030211988,0.06062946843926768,-0.01955540038873055,-0.04564127143329914,-0.022209
200505,-0.0053244672632837275,-0.029048091947652694,0.01426737682826383,-0.03727149030290512,0.0547464195509253,0.026598552074257133,0.027552
200506,0.0198719732496925,-0.01395092018555464,-0.012617867163097762,0.05062463349205716,0.061393089141541284,0.028055874561892576,-0.002443
200507,-0.008858636212092968,-0.010152479109856637,-0.06259905752605052,-0.01684238634020241,0.003124862515120022,0.027487955620262718,0.033568
200508,0.028236528362584327,0.014748572096001483,0.008592456334158623,0.015652494354781308,-0.05842130819650457,-0.04208914678411009,-0.014221999999999999
200509,0.023922953898175874,0.003186375044680421,-0.01302549026487465,-0.009516411835413123,-0.00932541243505798,-0.007822419619164392,0.0040490000000000005
200510,-0.06916751005771225,-0.02413891656351895,-0.058559876961116225,0.005059732165076308,0.025927410957788454,0.03253682060524022,-0.020441
200511,-0.01417231230131501,-0.02524512916986811,0.02342349669125779,-0.018010473671750495,0.055239036103966646,0.044236076763791,0.032086
200512,0.01301692551520861,-0.01853034352436507,0.014335233582697634,-0.005753000993527158,0.00721277136003324,0.02412892862970299,-0.004152
200601,0.04645515090121113,0.027250707616066225,-0.060444264754448605,0.021362350585924582,0.03331257444492988,0.05672607280507466,0.021967
200602,0.0069724372464846545,-0.029231545788042154,-0.002472801477563697,0.01903529230714975,-0.0007560867570578673,0.0023732704452387636,-0.002947
200603,0.023333019520476256,0.0276844023115438,-0.008583732320980912,-0.01587130371143399,-0.014971844356378126,0.012240577926037976,0.007365
200604,-0.006826093540658336,-0.011933260966977744,-0.010657594504690164,0.026999019838614375,-0.007223663987333404,-0.027070961157173303,0.008587000000000001
200605,-0.03901512065891538,0.047729967052218464,0.007371838735581605,-0.02315167727584943,0.012977168354796932,-0.008825200048874389,-0.035217
200606,0.01765098206679033,-0.01310294945634873,0.029233092008214133,-0.08519285324385283,0.020509442472556205,0.0012314613197838224,-0.003913
200607,-0.04636814466561154,-0.0019160705628844935,-0.026683473113768938,0.020074795235336382,-0.039506285843462365,-0.044076509357310806,0.0010860000000000002
200608,-0.019983389125227503,-0.04284841425383516,-0.07875502582505711,0.019529849942387018,0.006081717626618195,-0.00456381802019927,0.017074000000000002
200609,0.012778252312687963,-0.028019678123134384,0.0012151423354694072,-0.019535410225911314,0.00977733026618902,0.04582332406567872,0.020466
200610,0.01617861732189914,-0.013158518272731144,0.00045766555641958,0.0390469184864783,-0.007351441121819495,0.03114279211256307,0.027408000000000002
200611,0.0021861077844304404,-0.025780612827396167,-0.023303102730926433,-0.04761646968760625,0.02537953424269392,-0.022669251568685253,0.012267
200612,-0.013595146551455946,0.04363405768581538,0.06489822966741744,-0.025538842420946718,-0.06306680499720116,0.05104384155281723,0.008616
200701,0.028005292657034067,-0.018732011469289114,-0.02750351199179841,0.012142806204565353,0.0317227105311469,0.004613724029262134,0.009659000000000001
200702,-0.006536294083915251,0.010557091482773938,-0.061308948462783494,-0.024056632227408573,0.02172037942380594,-0.0024765994587501727,-0.025646000000000002
200703,0.00032358935177994805,0.0039479725207013025,0.024769318401691734,0.002365791110945023,-0.038906669131055074,-0.061865651870045946,0.005679999999999999
200704,-0.01640706573540923,-0.004898540032321055,0.028371653026181453,-0.00339583294917941,0.0058265312068553135,-0.015051894897970694,0.038891
200705,0.006575189581186393,0.028038418315222212,-0.009229726796740487,-0.008273305674467976,-0.05670324280582972,-0.014750868662378451,0.028449000000000002
200706,0.0530890303863059,-0.02199578534042204,0.023015538814484853,0.008067637915490047,-0.0426846412370404,-0.00037755254713631517,-0.021816
200707,0.07687248869495937,-0.01901330858253876,-0.005136796164004261,-0.03427291895621052,-0.002201303778502639,-0.07119385206987114,-0.035982
200708,0.09814332871612168,-0.028529174109665566,0.016849429358616694,0.014670510080801741,-0.0015344683640672674,-0.012983701963165705,0.008664000000000002
200709,0.022775591435856644,0.025083154558911733,0.03459917491666302,-0.012523562256544881,-0.006965609083707455,-0.03487899777145165,0.032594
200710,0.10939426166917439,0.008596808242219913,0.024671287947366116,0.032350064430903575,0.017483651938710647,-0.006215789519963056,0.011622
200711,0.12462879270057775,0.022651756300128403,0.10440277213685559,0.012571304494622619,0.022184328832132477,0.05205062674197512,-0.047443
200712,0.016899455418805293,0.10081263201779567,0.07607361822974536,-0.10291190734361089,-0.014451367417393031,-0.11036561494220791,-0.011328000000000001
200801,-0.04861856845605739,-0.06838215380519114,-0.08336714640817972,0.01629458495909552,0.0529292718825223,0.07582608673218949,-0.063264
200802,0.04205954149545114,0.11793514269712534,-0.04503082055284863,0.07782737402624984,0.028143003110746724,-0.04183864596944821,-0.036061
200803,0.03624809329631516,0.04343073143831185,-0.05855753712744326,-0.006035587946535144,0.019276580009377813,-0.05207908964966384,-0.00766
200804,-0.030791617692767823,-0.07253893111810124,0.02600963076908646,0.06705284158974363,0.03999839125461859,0.0470064667525783,0.045746999999999996
200805,0.0570035662271402,0.16320236575488373,0.01946234047626751,0.004880368685756663,-0.0626999669732168,0.017089470798768974,0.008874
200806,0.14392783002335136,0.26336042772019425,0.013872252730530187,-0.10844686393300393,-0.05793885067780846,-0.053572137686472766,-0.08766199999999999
200807,0.0213125246630021,-0.08089483152327177,-0.00524409528435937,0.05724443070102377,0.07457628707140067,0.08299839746302409,-0.011359
200808,0.0388780802092192,0.021053588111683782,-0.000461611287557704,0.052244937772090314,0.008300580842628101,0.002254603547553913,0.010891000000000001
200809,0.2760410211800255,0.11099880097143028,-0.10007633205093354,-0.027554040650583436,-0.0007159749125935644,8.828926828861883e-05,-0.092292
200810,-0.13200608857915663,0.0626183349947722,-0.021117562751010843,-0.16077932044702536,0.07514471788700489,0.12762230443277792,-0.170225
200811,-0.23063147790032631,0.09005254303447885,-0.048687744990559396,-0.11646448871278432,-0.14121835750730935,-0.0013009661451620774,-0.075149
200812,0.017205446151538246,0.039131752551668744,0.0373466240898129,0.03650928654568358,0.03108268083552506,0.0005852257847601891,0.007822
200901,-0.020760197632749985,0.09239204619105157,-0.05361212179265834,-0.0886939791614689,-0.1829602287288793,0.0853426028477621,-0.085657
200902,-0.08144742758235682,0.020020913488278225,0.06696649287440777,-0.09576348382565267,-0.3139906729404669,-0.22056756502137695,-0.110031
200903,-0.009545729398590365,-0.12457422795972299,0.0016135544591322493,0.02952009840591102,0.43384272646266353,0.1948088958877046,0.08520499999999999
200904,-0.01839421320269717,-0.07979654989113871,0.046076110878894176,0.12438035541971068,0.16260314206682427,0.41896327635619746,0.09382499999999999
200905,-0.09557433152847587,-0.15361045828870085,0.09721558124166678,0.13149143210907993,0.14639168174111847,-0.06786767412116321,0.053081
200906,0.05775836489156151,0.09654846407102674,-0.004647722339908604,-0.04465863615063087,0.024947817911306222,-0.013014305553480165,9.599999999999999e-05
200907,-0.2669600153852484,-0.015141230750556109,0.012067721023687528,0.23814531429324814,0.23715879975221432,0.15059649571896974,0.074042
200908,-0.25029425146366185,-0.04890689117212031,-0.003977013104616182,-0.08492162308423092,0.09854422171409076,0.12212922016758797,0.03346
200909,-0.13844928469870466,-0.012342926125853602,0.030206793482582196,0.040174155484536234,0.04672428199068761,0.09635338853475081,0.035622999999999995
200910,0.10004165892220038,-0.03369011555281491,-0.02246430643743781,0.08887390445514565,-0.051631964712644376,-0.08880200771534671,-0.019762
200911,0.032425419505281744,-0.013305094700859998,-0.024882036649084494,0.0735777688992115,0.013682886122635206,0.017100839767277533,0.057364
200912,0.09218177300869769,0.026237146317743855,0.029433714673230277,-0.03231869298323995,0.12499252815726784,0.009242537093820356,0.017671
201001,-0.025940310370188895,0.011622820898700023,-0.017759924224730887,-0.010854681738414931,0.04846541776940623,-0.0422196772457875,-0.036974
201002,0.05766534645799212,0.08409575234161168,0.02765970192833527,0.08065071883675348,0.04460304458799644,0.09218809530623322,0.028514
201003,0.02968834999975823,0.05757205327252069,0.03338509821700101,0.06460100713821146,0.12991705979126042,0.12891694092533568,0.058696
201004,0.1144389764758667,0.005012396966570593,-0.045869849463951826,0.058563726042235836,0.03338719611449482,0.05265054152701468,0.014659
201005,-0.01951399252586536,-0.03263513787035925,-0.032545096429332177,0.08153728017212422,-0.030089304473004924,0.03653118463793202,-0.082076
201006,-0.09189860816227235,-0.03267867125880599,0.03476569156341982,-0.03759542148595265,0.01765520297876285,-0.09972462079044889,-0.053982
201007,0.008465212979824471,0.08359230298820972,0.021085169379576676,0.03476858777610342,0.023085874333534304,-0.029526532546055494,0.068678
201008,-0.03810564589560917,-0.04791828685471358,-0.005755696243346885,-0.05281008462039157,-0.09655869655223365,-0.06756111089770864,-0.047549
201009,0.05580118136158359,0.009708570214275139,0.004464214011059536,-0.0037508174263472943,0.09210801681481495,0.05120679894531671,0.087451
201010,-0.021590225583932032,0.03583654560059965,0.005291843866438516,0.012060203023511608,-0.020987384523055038,-0.0025403619081149076,0.036756
201011,0.053554997039729255,0.0015670221060137268,0.004751659849219426,0.007937707527113449,0.053372947229083215,0.004010577849810279,-0.0023899999999999998
201012,-0.025561136218151898,0.054252593847086264,-0.0201362264216933,0.042873265297906187,0.05801462797430754,0.06393010221388573,0.0652
